Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13761.099609,13871.799805,13739.200195,13867.299805,260806600,13867.299805
2016-04-18,13595.599609,13730.599609,13548.799805,13719.799805,223276100,13719.799805
2016-04-15,13632.200195,13657.599609,13596.200195,13637.200195,201683900,13637.200195
2016-04-14,13680.00,13701.099609,13629.599609,13668.299805,227931800,13668.299805
2016-04-13,13617.900391,13703.599609,13608.900391,13671.400391,236988900,13671.400391
2016-04-12,13447.50,13632.799805,13444.50,13581.400391,287997300,13581.400391
2016-04-11,13422.099609,13529.00,13422.099609,13422.799805,215507800,13422.799805
2016-04-08,13328.400391,13428.799805,13328.400391,13396.700195,223954300,13396.700195
2016-04-07,13327.299805,13327.299805,13217.200195,13266.400391,209397600,13266.400391
2016-04-06,13308.900391,13348.00,13237.900391,13347.50,209952600,13347.50
2016-04-05,13309.299805,13326.50,13262.200195,13304.700195,181700400,13304.700195
2016-04-04,13450.00,13452.900391,13314.599609,13336.200195,157818600,13336.200195
2016-04-01,13404.599609,13440.799805,13323.599609,13440.400391,205610900,13440.400391
2016-03-31,13495.50,13548.200195,13475.299805,13494.400391,219047700,13494.400391
2016-03-30,13475.400391,13575.00,13475.400391,13504.00,212730200,13504.00
2016-03-29,13353.599609,13443.799805,13270.200195,13426.200195,189196700,13426.200195
2016-03-28,13369.299805,13395.50,13277.200195,13390.200195,133834300,13390.200195
2016-03-24,13302.900391,13358.099609,13255.50,13358.099609,192384300,13358.099609
2016-03-23,13503.099609,13503.099609,13365.00,13379.50,247556200,13379.50
2016-03-22,13527.099609,13565.400391,13493.50,13493.50,191544100,13493.50
2016-03-21,13496.00,13567.400391,13479.299805,13561.099609,182302300,13561.099609
2016-03-18,13607.900391,13621.799805,13490.099609,13497.099609,680620500,13497.099609
2016-03-17,13505.200195,13685.50,13494.599609,13621.299805,314587600,13621.299805
2016-03-16,13410.50,13507.299805,13402.00,13478.099609,265553600,13478.099609
2016-03-15,13383.099609,13400.299805,13284.200195,13400.299805,245980600,13400.299805
2016-03-14,13520.099609,13530.299805,13426.099609,13477.50,232678300,13477.50
2016-03-11,13434.50,13543.299805,13434.50,13522.00,239951500,13522.00
2016-03-10,13423.599609,13513.200195,13298.299805,13379.099609,274931600,13379.099609
2016-03-09,13346.200195,13435.900391,13342.700195,13392.900391,300409700,13392.900391
2016-03-08,13374.099609,13391.799805,13256.799805,13311.099609,330238400,13311.099609
2016-03-07,13235.299805,13447.700195,13235.299805,13383.599609,343216600,13383.599609
2016-03-04,13150.50,13281.799805,13150.50,13212.50,394167400,13212.50
2016-03-03,13055.200195,13157.400391,13025.50,13123.700195,343296700,13123.700195
2016-03-02,12985.200195,13030.400391,12858.00,13017.900391,295879500,13017.900391
2016-03-01,12896.299805,12998.50,12896.299805,12982.099609,285256700,12982.099609
2016-02-29,12820.099609,12912.599609,12784.799805,12860.400391,299128600,12860.400391
2016-02-26,12817.50,12915.700195,12781.200195,12797.799805,255406600,12797.799805
2016-02-25,12724.00,12753.599609,12633.700195,12753.599609,248831300,12753.599609
2016-02-24,12727.400391,12754.900391,12506.099609,12740.299805,312129400,12740.299805
2016-02-23,12867.599609,12962.799805,12727.50,12763.400391,235355100,12763.400391
2016-02-22,12888.700195,12984.700195,12844.799805,12845.599609,293520100,12845.599609
2016-02-19,12858.799805,12858.799805,12734.900391,12813.400391,252609000,12813.400391
2016-02-18,12904.50,12947.299805,12839.400391,12931.400391,317561200,12931.400391
2016-02-17,12644.400391,12880.700195,12639.00,12867.200195,328295500,12867.200195
2016-02-16,12431.299805,12561.299805,12373.200195,12555.00,282619700,12555.00
2016-02-12,12136.299805,12381.900391,12136.299805,12381.200195,252630300,12381.200195
2016-02-11,12163.00,12163.00,11985.700195,12087.400391,355026800,12087.400391
2016-02-10,12314.299805,12392.299805,12171.900391,12185.700195,286727300,12185.700195
2016-02-09,12448.099609,12448.099609,12192.50,12282.700195,309793400,12282.700195
2016-02-08,12691.099609,12691.099609,12486.50,12535.400391,275959400,12535.400391
2016-02-05,12764.00,12777.00,12669.599609,12764.00,244547900,12764.00
2016-02-04,12606.099609,12826.700195,12606.099609,12774.50,304632400,12774.50
2016-02-03,12492.299805,12613.900391,12320.400391,12593.00,282033700,12593.00
2016-02-02,12646.799805,12646.799805,12387.200195,12442.299805,209651500,12442.299805
2016-02-01,12766.200195,12766.200195,12590.900391,12674.400391,207051200,12674.400391
2016-01-29,12636.099609,12822.099609,12601.700195,12822.099609,331433000,12822.099609
2016-01-28,12432.400391,12612.200195,12420.900391,12591.900391,295773300,12591.900391
2016-01-27,12309.599609,12524.099609,12249.799805,12377.799805,281404400,12377.799805
2016-01-26,12192.299805,12374.00,12175.400391,12331.299805,247219300,12331.299805
2016-01-25,12377.50,12377.50,12130.299805,12143.200195,224918400,12143.200195
2016-01-22,12191.599609,12389.599609,12191.599609,12389.599609,300418000,12389.599609
2016-01-21,11834.900391,12070.700195,11772.200195,12035.900391,310391800,12035.900391
2016-01-20,11897.599609,11932.400391,11531.200195,11843.099609,357071400,11843.099609
2016-01-19,12002.299805,12099.599609,11894.200195,12002.200195,281063700,12002.200195
2016-01-18,12025.599609,12047.900391,11913.400391,11942.200195,100097400,11942.200195
2016-01-15,12184.599609,12184.599609,11950.900391,12073.50,285852400,12073.50
2016-01-14,12176.299805,12362.799805,12060.299805,12336.00,277737000,12336.00
2016-01-13,12426.50,12499.50,12141.700195,12170.400391,261525900,12170.400391
2016-01-12,12361.400391,12451.700195,12192.900391,12373.900391,258256000,12373.900391
2016-01-11,12464.50,12479.400391,12230.00,12319.299805,208496500,12319.299805
2016-01-08,12470.900391,12543.400391,12431.900391,12445.50,220250200,12445.50
2016-01-07,12661.200195,12661.200195,12439.099609,12448.200195,293235700,12448.200195
2016-01-06,12854.599609,12854.599609,12701.700195,12726.799805,225652800,12726.799805
2016-01-05,12929.200195,12954.900391,12839.799805,12920.099609,181894700,12920.099609
2016-01-04,12920.599609,12928.900391,12748.50,12927.200195,186952500,12927.200195
2015-12-31,13077.599609,13098.599609,12988.00,13010.00,111101400,13010.00
2015-12-30,13225.50,13244.799805,13121.900391,13142.299805,97136600,13142.299805
2015-12-29,13279.50,13315.200195,13193.599609,13245.799805,120776600,13245.799805
2015-12-24,13290.50,13344.200195,13280.299805,13309.799805,72358500,13309.799805
2015-12-23,13141.400391,13284.900391,13141.400391,13284.900391,192255300,13284.900391
2015-12-22,13034.799805,13103.099609,12950.50,13082.900391,162292500,13082.900391
2015-12-21,13051.50,13141.099609,12983.700195,13034.400391,192207100,13034.400391
2015-12-18,12971.599609,13061.700195,12968.00,13024.299805,485739900,13024.299805
2015-12-17,13141.50,13158.900391,12967.400391,13009.900391,262462800,13009.900391
2015-12-16,12967.099609,13182.700195,12967.099609,13166.099609,284652500,13166.099609
2015-12-15,12783.700195,12932.400391,12783.700195,12919.599609,228818900,12919.599609
2015-12-14,12776.299805,12805.200195,12617.700195,12695.50,246218400,12695.50
