AthensIndex,BrusselsStockExch,GermanyDAX,HangSeng,JakartaIndex,LondonFTSE,MexicoIndex,NewZealandSE,OsakaStockEx,SaoPaoloIndex,Sensex,SeoulComposite,ShanghaiComposite,SwissMarket,TaiwanWeighted,TelAvivSE,TorontoIndex,ViennaIndex
715.77,3587.02002,10800.839844,22819.939453,22819.939453,6395.799805,44634.808594,6002.970215,18935.710938,45628.0,26838.140625,2034.160034,3387.32,8957.299805,8571.080078,1366.619995,13791.900391,2422.929932
727.38,3579.360107,10831.959961,22956.570312,22956.570312,6437.799805,44741.679688,5998.990234,18903.019531,46741.0,27039.759766,2042.51001,3375.2,8932.599609,8665.990234,1360.339966,13863.200195,2435.48999
727.38,3513.689941,10692.19043,23142.730469,23142.730469,6365.299805,44698.011719,6001.02002,18777.039062,47043.0,27253.439453,2044.650024,3434.34,8849.900391,8701.320312,1356.920044,13699.599609,2410.679932
694.48,3399.620117,10064.799805,22888.169922,22888.169922,6338.700195,44087.589844,5775.709961,18096.900391,47161.0,27010.140625,2033.27002,3338.07,8653.400391,8601.519531,1331.5,13829.0,2364.830078
676.13,3377.02002,9915.849609,22439.910156,22439.910156,6269.600098,44064.429688,5727.129883,17891.0,46710.0,26779.660156,2009.550049,3262.44,8573.299805,8522.509766,1318.050049,13875.299805,2334.219971
654.2,3344.5,9660.44043,20846.300781,20846.300781,6061.600098,42632.539062,5593.359863,17388.150391,45059.0,26154.830078,1962.810059,3052.78,8513.400391,8181.240234,1294.449951,13307.0,2229.48999
675.1,3465.580078,10210.44043,21562.5,21562.5,6155.799805,42888.511719,5670.990234,18299.619141,46504.0,25622.169922,1962.109985,3197.89,8778.799805,8268.679688,1391.380005,13569.900391,2281.310059
669.26,3495.01001,10303.120117,22131.310547,22131.310547,6229.0,42754.679688,5671.419922,18770.509766,46657.0,25719.580078,1934.199951,3243.09,8871.900391,8286.919922,1399.609985,13531.900391,2298.27002
667.47,3451.22998,10271.360352,21259.039062,21259.039062,6146.100098,43083.941406,5610.310059,17427.080078,46762.0,25317.869141,1878.680054,3170.45,8761.0,8001.5,1405.579956,13630.700195,2282.870117
626.46,3410.399902,10048.049805,20934.939453,20934.939453,6083.299805,42969.929688,5590.209961,18095.400391,46464.0,25453.560547,1915.219971,3160.17,8626.299805,8035.290039,1392.709961,13545.299805,2261.820068
621.51,3387.689941,10015.570312,21185.429688,21185.429688,6058.5,42911.511719,5654.990234,18165.689453,45477.0,25696.439453,1914.22998,3166.62,8621.299805,8017.560059,1370.97998,13481.900391,2278.110107
627.02,3443.669922,10315.620117,21838.539062,21838.539062,6192.0,43452.359375,5634.939941,18574.439453,47715.0,26231.189453,1908.0,3083.59,8812.599609,7824.549805,1398.119995,13766.700195,2349.449951
622.72,3346.189941,9997.429688,21080.390625,21080.390625,5979.200195,42323.039062,5577.779785,18376.830078,46038.0,25714.660156,1894.089966,2927.29,8548.799805,7715.589844,1392.880005,13381.599609,2266.669922
621.7,3392.120117,10128.120117,21404.960938,21404.960938,6081.299805,42010.890625,5613.290039,17806.699219,44545.0,26032.380859,1846.630005,2964.97,8758.799805,7675.640137,1403.22998,13150.900391,2287.699951
568.38,3265.590088,9648.429688,21251.570312,21251.570312,5898.899902,41471.46875,5607.310059,18540.679688,44336.0,25741.560547,1829.810059,3209.91,8468.900391,7410.339844,1355.170044,13052.700195,2207.689941
651.56,3544.02002,10432.19043,22757.470703,22757.470703,6367.899902,43036.589844,5742.459961,20033.519531,46649.0,27607.820312,1914.550049,3664.29,9104.700195,8029.810059,1477.790039,13737.0,2395.120117
675.33,3597.429932,10682.150391,23167.849609,23167.849609,6403.5,43473.738281,5750.029785,20222.630859,46588.0,27931.640625,1939.380005,3794.11,9251.599609,8021.839844,1495.430054,14036.599609,2443.709961
673.18,3656.129883,10915.919922,23474.970703,23474.970703,6526.299805,43872.121094,5710.77002,20554.470703,47451.0,27831.539062,1956.26001,3748.16,9383.599609,8177.220215,1502.079956,14193.900391,2462.159912
680.94,3647.060059,10940.330078,23814.650391,23814.650391,6550.299805,43953.480469,5727.419922,20620.259766,47217.0,27878.269531,1968.52002,3993.67,9390.5,8213.419922,1497.089966,14251.5,2450.72998
686.65,3672.350098,11014.629883,24018.800781,24018.800781,6568.299805,43870.53125,5737.689941,20595.550781,48010.0,27549.529297,1983.459961,3954.56,9325.200195,8311.740234,1486.640015,14238.400391,2452.840088
691.4,3637.129883,10924.610352,23916.019531,23916.019531,6571.200195,44032.378906,5757.220215,20392.769531,48388.0,27512.259766,1975.469971,3886.32,9183.900391,8283.379883,1478.349976,14339.5,2414.370117
705.0,3750.840088,11293.650391,24498.210938,24498.210938,6664.5,44379.789062,5822.350098,20720.75,49072.0,27866.089844,1986.650024,3927.91,9424.400391,8394.139648,1486.449951,14414.700195,2468.469971
690.24,3808.969971,11604.780273,24521.119141,24521.119141,6736.200195,45320.691406,5865.02002,20808.689453,49353.0,28101.720703,2003.170044,3928.42,9510.799805,8466.839844,1492.400024,14466.400391,2497.01001
666.68,3841.47998,11585.099609,24375.279297,24375.279297,6747.100098,44921.21875,5928.689941,20664.439453,50011.0,28298.130859,2013.290039,3661.54,9458.0,8449.55957,1483.300049,14405.900391,2481.72998
643.22,3831.25,11636.299805,24514.160156,24514.160156,6752.399902,44937.609375,5938.509766,20614.060547,50287.0,28223.080078,2029.76001,3694.57,9526.799805,8542.269531,1489.459961,14503.0,2501.76001
659.94,3801.209961,11456.070312,24406.119141,24406.119141,6686.600098,45177.980469,5933.75,20520.359375,50058.0,28071.929688,2027.98999,3756.54,9480.200195,8510.860352,1478.880005,14491.099609,2489.76001
797.52,3726.850098,11257.150391,24497.980469,24497.980469,6668.899902,44373.308594,5891.850098,20522.830078,49897.0,27705.349609,2019.030029,3705.77,9397.700195,8651.490234,1476.849976,14382.799805,2481.280029
797.52,3719.379883,11211.849609,24619.449219,24619.449219,6631.0,44471.289062,5870.77002,20302.910156,50245.0,27563.429688,2037.619995,3789.17,9388.0,8563.480469,1482.699951,14301.799805,2481.97998
797.52,3719.399902,11173.910156,24503.939453,24503.939453,6555.299805,44222.96875,5848.390137,20328.890625,49602.0,27459.230469,2039.099976,3663.0,9275.700195,8582.490234,1476.98999,14077.400391,2480.23999
797.52,3701.379883,11056.400391,24351.960938,24351.960938,6505.100098,43713.71875,5872.060059,20350.099609,48736.0,27561.380859,2038.810059,3725.56,9194.5,8556.679688,1466.959961,14001.400391,2455.530029
