Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,8074.100098,8158.00,8065.50,8152.799805,48843900,8152.799805
2016-04-18,7950.299805,8048.50,7924.00,8044.600098,36599300,8044.600098
2016-04-15,8000.100098,8033.299805,7956.899902,8014.600098,56584300,8014.600098
2016-04-14,7949.200195,8031.00,7939.700195,8021.00,53915000,8021.00
2016-04-13,7842.799805,7934.50,7833.700195,7934.50,70037700,7934.50
2016-04-12,7718.200195,7795.899902,7676.700195,7788.799805,48823500,7788.799805
2016-04-11,7752.399902,7810.200195,7706.00,7751.600098,49978400,7751.600098
2016-04-08,7792.799805,7817.600098,7766.00,7817.600098,55131500,7817.600098
2016-04-07,7793.00,7830.00,7745.50,7761.399902,53890600,7761.399902
2016-04-06,7650.00,7769.100098,7629.700195,7768.200195,57688400,7768.200195
2016-04-05,7660.50,7681.00,7611.600098,7673.700195,72621500,7673.700195
2016-04-04,7679.399902,7757.50,7646.700195,7731.799805,53134400,7731.799805
2016-04-01,7688.600098,7700.100098,7607.700195,7688.299805,61747600,7688.299805
2016-03-31,7816.700195,7835.700195,7786.600098,7807.899902,55783800,7807.899902
2016-03-30,7840.600098,7867.399902,7826.600098,7845.100098,51336600,7845.100098
2016-03-29,7812.200195,7828.100098,7738.00,7797.700195,50023000,7797.700195
2016-03-24,7833.50,7839.299805,7765.299805,7775.600098,45957000,7775.600098
2016-03-23,7899.600098,7928.299805,7855.200195,7894.399902,58033100,7894.399902
2016-03-22,7795.299805,7853.100098,7719.399902,7853.100098,49673600,7853.100098
2016-03-21,7800.399902,7884.50,7788.799805,7849.600098,51526200,7849.600098
2016-03-18,7870.700195,7879.00,7786.00,7813.700195,178431900,7813.700195
2016-03-17,7940.200195,7952.600098,7785.299805,7861.799805,67336700,7861.799805
2016-03-16,7962.100098,7970.600098,7892.100098,7916.399902,70736700,7916.399902
2016-03-15,7978.100098,8000.50,7941.50,7953.899902,64691100,7953.899902
2016-03-14,8019.399902,8053.299805,7997.799805,8018.399902,48255900,8018.399902
2016-03-11,7987.899902,8005.399902,7953.600098,7998.399902,58878500,7998.399902
2016-03-10,7968.200195,8095.399902,7893.700195,7893.700195,77751000,7893.700195
2016-03-09,7946.799805,8031.200195,7937.600098,7975.799805,59340300,7975.799805
2016-03-08,7954.200195,8013.100098,7931.700195,7971.200195,59789200,7971.200195
2016-03-07,7964.600098,8022.899902,7935.00,8019.100098,51034000,8019.100098
2016-03-04,7970.299805,8015.50,7921.399902,7982.600098,64325700,7982.600098
2016-03-03,8000.200195,8007.00,7944.50,7950.799805,63241900,7950.799805
2016-03-02,7994.399902,8039.899902,7955.700195,8039.899902,71666500,8039.899902
2016-03-01,7823.700195,7963.299805,7810.50,7962.200195,56435500,7962.200195
2016-02-29,7789.600098,7862.200195,7762.50,7843.600098,55951800,7843.600098
2016-02-26,7858.799805,7922.00,7841.50,7877.00,58111000,7877.00
2016-02-25,7803.00,7816.00,7717.899902,7794.100098,000,7794.100098
2016-02-24,7795.299805,7808.100098,7641.00,7689.600098,66577600,7689.600098
2016-02-23,7923.00,7926.100098,7793.299805,7807.00,57453700,7807.00
2016-02-22,7926.399902,7996.100098,7923.600098,7961.50,50127600,7961.50
2016-02-19,7871.799805,7920.899902,7817.799805,7863.399902,93101900,7863.399902
2016-02-18,7898.00,7984.299805,7863.399902,7916.600098,76294900,7916.600098
2016-02-17,7880.899902,7968.299805,7850.100098,7946.200195,59934900,7946.200195
2016-02-16,7886.700195,7904.399902,7762.100098,7813.799805,59557800,7813.799805
2016-02-15,7803.200195,7881.399902,7782.50,7848.299805,59095900,7848.299805
2016-02-12,7552.50,7656.600098,7542.100098,7656.600098,78358200,7656.600098
2016-02-11,7614.100098,7624.00,7425.100098,7496.600098,000,7496.600098
2016-02-10,7624.399902,7800.100098,7581.600098,7731.899902,96283700,7731.899902
2016-02-09,7771.299805,7792.00,7541.00,7583.299805,108442300,7583.299805
2016-02-08,7989.200195,7989.50,7736.50,7759.200195,79129300,7759.200195
2016-02-05,8003.50,8074.100098,7959.700195,7960.100098,74747000,7960.100098
2016-02-04,8160.200195,8162.50,7935.799805,8003.399902,113985800,8003.399902
2016-02-03,8219.900391,8249.099609,8051.299805,8123.700195,83815900,8123.700195
2016-02-02,8268.099609,8279.799805,8142.399902,8197.00,91753000,8197.00
2016-02-01,8375.00,8381.099609,8245.599609,8311.00,53264800,8311.00
2016-01-29,8220.00,8319.799805,8214.799805,8319.799805,71160800,8319.799805
2016-01-28,8258.50,8307.700195,8107.600098,8153.299805,66976000,8153.299805
2016-01-27,8241.900391,8322.700195,8216.00,8322.700195,62769900,8322.700195
2016-01-26,8155.399902,8328.099609,8120.600098,8314.50,52762100,8314.50
2016-01-25,8296.400391,8301.00,8190.600098,8253.299805,44416300,8253.299805
2016-01-22,8179.00,8308.299805,8163.200195,8271.099609,56839900,8271.099609
2016-01-21,8008.50,8135.899902,7977.899902,8035.100098,72697900,8035.100098
2016-01-20,8073.00,8077.700195,7935.50,7966.299805,70471400,7966.299805
2016-01-19,8214.700195,8277.799805,8187.799805,8223.799805,48653900,8223.799805
2016-01-18,8128.50,8216.799805,8076.100098,8099.100098,46398200,8099.100098
2016-01-15,8270.700195,8303.700195,8056.50,8107.100098,75861200,8107.100098
2016-01-14,8339.799805,8349.900391,8175.00,8305.50,68151600,8305.50
2016-01-13,8411.599609,8487.599609,8386.900391,8414.799805,48467900,8414.799805
2016-01-12,8199.200195,8398.00,8192.599609,8332.00,55007900,8332.00
2016-01-11,8221.00,8317.200195,8202.700195,8213.50,57591600,8213.50
2016-01-08,8446.900391,8475.900391,8257.299805,8257.299805,64996800,8257.299805
2016-01-07,8443.50,8480.299805,8326.799805,8449.900391,62585600,8449.900391
2016-01-06,8720.400391,8720.400391,8560.400391,8613.400391,43968800,8613.400391
2016-01-05,8705.900391,8730.099609,8601.099609,8701.50,39686200,8701.50
2016-01-04,8705.599609,8714.299805,8593.900391,8656.299805,48337700,8656.299805
2015-12-30,8906.200195,8908.50,8818.099609,8818.099609,27648600,8818.099609
2015-12-29,8791.00,8886.400391,8781.299805,8883.00,28963400,8883.00
2015-12-28,8724.900391,8779.200195,8686.900391,8739.400391,22494900,8739.400391
2015-12-23,8628.900391,8730.400391,8607.099609,8705.700195,35993200,8705.700195
2015-12-22,8579.00,8610.299805,8513.799805,8515.799805,33316000,8515.799805
2015-12-21,8624.400391,8681.799805,8544.400391,8544.400391,38406300,8544.400391
2015-12-18,8607.700195,8663.00,8598.099609,8608.900391,106966400,8608.900391
2015-12-17,8757.099609,8794.599609,8632.099609,8656.299805,55886000,8656.299805
2015-12-16,8591.799805,8657.700195,8565.700195,8604.099609,53879600,8604.099609
2015-12-15,8424.700195,8591.200195,8424.700195,8581.599609,57512100,8581.599609
2015-12-14,8538.700195,8562.799805,8375.299805,8375.299805,54880300,8375.299805
2015-12-11,8606.00,8641.50,8477.799805,8502.099609,57406000,8502.099609
2015-12-10,8585.700195,8669.299805,8546.50,8632.599609,48679100,8632.599609
2015-12-09,8724.200195,8737.700195,8596.599609,8625.00,54247300,8625.00
2015-12-08,8814.50,8821.00,8658.099609,8701.200195,49656300,8701.200195
2015-12-07,8831.299805,8933.099609,8812.50,8825.299805,37903900,8825.299805
2015-12-04,8799.50,8817.200195,8743.599609,8802.900391,58722200,8802.900391
2015-12-03,8982.400391,9042.599609,8828.700195,8852.099609,65525100,8852.099609
2015-12-02,9023.400391,9053.50,8999.099609,9016.599609,44065900,9016.599609
2015-12-01,9011.00,9029.400391,8936.700195,8993.200195,57193700,8993.200195
2015-11-30,8987.599609,9048.00,8957.900391,8993.099609,62398400,8993.099609
2015-11-27,8942.299805,9030.00,8903.700195,9003.00,40172400,9003.00
2015-11-26,8939.00,8982.900391,8935.099609,8968.299805,000,8968.299805
2015-11-25,8830.900391,8982.799805,8804.799805,8934.50,61704100,8934.50
2015-11-24,8891.900391,8895.50,8761.50,8808.50,61857300,8808.50
2015-11-23,8957.799805,8957.799805,8901.099609,8924.400391,47963800,8924.400391
2015-11-20,9043.299805,9047.00,8973.700195,9015.799805,46694600,9015.799805
2015-11-19,9016.200195,9080.599609,8987.200195,9008.700195,000,9008.700195
2015-11-18,8921.00,8999.50,8904.00,8991.00,39486700,8991.00
2015-11-17,8787.599609,8956.299805,8781.700195,8952.599609,46355400,8952.599609
2015-11-16,8697.299805,8768.700195,8695.00,8727.099609,40104600,8727.099609
2015-11-13,8818.200195,8821.400391,8699.799805,8749.799805,46259600,8749.799805
2015-11-12,8890.400391,8929.00,8755.099609,8816.900391,44739000,8816.900391
2015-11-11,8856.700195,8950.400391,8851.599609,8884.599609,35327500,8884.599609
2015-11-10,8900.00,8900.099609,8806.400391,8849.799805,37192700,8849.799805
2015-11-09,8968.099609,8970.00,8876.700195,8876.700195,39330200,8876.700195
2015-11-06,8970.299805,9014.299805,8917.200195,8970.299805,50172000,8970.299805
2015-11-05,8983.799805,9032.799805,8946.799805,8990.200195,000,8990.200195
2015-11-04,8977.099609,9037.599609,8941.00,8951.799805,44975800,8951.799805
2015-11-03,8920.200195,8937.00,8886.900391,8935.50,50123500,8935.50
2015-11-02,8892.700195,8955.799805,8890.799805,8936.099609,33896500,8936.099609
2015-10-30,8984.50,8984.50,8911.50,8938.700195,39242000,8938.700195
2015-10-29,8966.900391,8969.099609,8903.900391,8957.299805,43991100,8957.299805
2015-10-28,8860.200195,8942.299805,8840.700195,8932.599609,000,8932.599609
2015-10-27,8842.799805,8894.400391,8806.400391,8849.900391,38829300,8849.900391
2015-10-26,8913.900391,8952.50,8889.099609,8907.900391,34805400,8907.900391
2015-10-23,8834.400391,8942.400391,8816.799805,8910.50,000,8910.50
2015-10-22,8628.599609,8798.799805,8622.099609,8788.900391,52645700,8788.900391
2015-10-21,8666.00,8666.00,8579.599609,8602.099609,47566400,8602.099609
2015-10-20,8702.099609,8724.599609,8638.799805,8650.00,40541000,8650.00
2015-10-19,8716.700195,8788.700195,8697.700195,8705.700195,000,8705.700195
2015-10-16,8651.700195,8743.099609,8645.099609,8715.700195,58633200,8715.700195
2015-10-15,8611.00,8662.700195,8581.200195,8653.400391,000,8653.400391
2015-10-14,8600.700195,8644.099609,8559.299805,8573.299805,000,8573.299805
2015-10-13,8686.400391,8692.200195,8593.299805,8654.599609,45103300,8654.599609
2015-10-12,8691.400391,8722.900391,8641.900391,8706.099609,37468100,8706.099609
2015-10-09,8729.299805,8759.00,8666.099609,8680.200195,45276200,8680.200195
2015-10-08,8676.799805,8718.099609,8636.400391,8674.200195,52270200,8674.200195
2015-10-07,8768.50,8772.400391,8631.00,8639.00,57797000,8639.00
2015-10-06,8755.00,8805.299805,8702.099609,8761.700195,000,8761.700195
